Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii	Total
OG0000000	19	51	36	48	57	23	35	57	60	33	33	36	35	36	34	36	34	33	37	22	63	818
OG0000001	0	0	0	0	0	0	0	0	0	58	81	0	0	0	0	0	0	414	0	0	0	553
OG0000002	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	381	0	0	0	0	0	537
OG0000003	14	20	17	15	18	12	16	19	29	15	15	15	15	15	15	15	15	15	18	13	20	346
OG0000004	17	17	15	14	16	11	16	17	16	17	17	17	17	17	17	17	17	17	15	16	17	340
OG0000005	12	21	10	14	16	8	14	16	23	15	15	15	15	15	15	15	15	15	13	12	16	310
OG0000006	9	11	11	13	14	8	14	11	13	13	13	27	27	12	14	29	14	13	11	9	13	299
OG0000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	283	0	0	0	0	284
OG0000008	12	14	8	11	16	8	13	16	14	13	13	14	14	14	14	14	14	13	14	12	16	277
OG0000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	248
OG0000010	9	6	9	8	14	5	10	16	13	10	10	11	9	11	11	11	11	10	12	7	15	218
OG0000011	0	0	0	0	0	0	1	0	0	37	113	1	1	1	1	1	1	61	0	0	0	218
OG0000012	8	12	7	12	13	6	8	13	14	10	10	10	9	10	10	10	10	10	9	8	13	212
OG0000013	9	7	17	10	9	6	10	11	12	8	8	9	8	9	8	9	9	8	8	21	12	208
OG0000014	2	9	7	17	17	6	8	18	13	8	8	8	8	8	8	8	8	8	15	2	19	205
OG0000015	7	15	12	12	13	5	7	12	17	7	7	7	7	7	7	7	7	7	10	8	14	195
OG0000016	7	17	8	9	11	5	7	10	18	8	8	9	6	9	9	9	9	8	9	7	10	193
OG0000017	4	11	6	16	15	1	6	17	9	8	8	8	8	8	8	8	8	8	11	4	18	190
OG0000018	7	12	8	9	9	5	8	11	11	9	9	9	9	9	9	9	9	9	11	7	11	190
OG0000019	8	9	6	10	10	6	8	10	16	9	9	10	10	9	9	9	9	9	7	6	10	189
OG0000020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	172
OG0000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	171
