Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii
OG0010434	KAG6440217.1																				
OG0010435	KAG6440220.1																				
OG0010436	EDO05110.1																				
OG0010437	EDO05113.1																				
OG0010438	EDO05118.1																				
OG0010439	EDO05119.1																				
OG0010440	EDO05120.1																				
OG0010441	EDO05129.2																				
OG0010442	EDO05130.2																				
OG0010443	EDO05132.1																				
OG0010444	EDO05143.2																				
OG0010445	EDO05149.1																				
OG0010446	KAG6440202.1																				
OG0010447	EDO05152.1																				
OG0010448	EDO05155.1																				
OG0010449	EDO05156.2																				
OG0010450	EDO05159.2																				
OG0010451	EDO05160.2																				
OG0010452	KAG6440210.1																				
OG0010453	EDO05161.2																				
OG0010454	EDO05163.2																				
OG0010455	EDO05166.2																				
OG0010456	EDO05167.1																				
OG0010457	EDO05173.1																				
OG0010458	KAG6440193.1																				
OG0010459	EDO05191.2																				
OG0010460	EDO05192.1																				
OG0010461	KAG6440201.1																				
OG0010462	EDO05195.1																				
OG0010463	EDO05199.2																				
OG0010464	EDO05200.1																				
OG0010465	EDO05201.1																				
OG0010466	KAG6440216.1																				
OG0010467	KAG6440218.1																				
OG0010468	EDO05208.1																				
OG0010469	EDO05233.2																				
OG0010470	EDO05243.2																				
OG0010471	EDO05245.2																				
OG0010472	EDO05249.1																				
OG0010473	EDO05250.1																				
OG0010474	EDO05251.1																				
OG0010475	EDO05252.1																				
OG0010476	EDO05253.2																				
OG0010477	EDO05257.1																				
OG0010478	EDO05260.2																				
OG0010479	EDO05262.2																				
OG0010480	EDO05268.2																				
OG0010481	EDO05273.1																				
OG0010482	EDO05282.1																				
OG0010483	EDO05283.2																				
OG0010484	KAG6440185.1																				
OG0010485	EDO05287.1																				
